"Url","DA","PA","MozRank","LinksIn","Equity","SemRush Domain","SR Rank","SR KWords","SR Traffic","SR Costs","SR ULinks","SR HLinks","SR DLinks","CF","TF","EBL","RefDomains"
"Peketec.de","33.6","36.2","5.4","7660","39","notfound","0","0","0","0","153","11445","11521","29","34","2151","475"
"pfalz-express.de","31.0","33.6","1.9","2","1","pfalz-express.de","16102831","83","0","0","56","56","3976","38","19","285433","689"
"pirmasenser-zeitung.de","37.7","1.0","0.0","0","0","pirmasenser-zeitung.de","9396020","12","4","0","18","18","8654","39","41","13544","808"
"piste.de","36.8","38.2","5.2","528","16","piste.de","11647027","62","2","0","121","283","4895","33","20","10156","881"
"player.at","30.5","30.9","0.0","0","0","player.at","27019484","2","0","0","2","2","1646","42","22","18200","82"
"polizeiticker.ch","33.1","40.3","4.3","11","10","polizeiticker.ch","19501553","70","0","0","27","27","162271","39","12","140834","214"
"port01.com","34.4","43.4","4.9","90","86","port01.com","5760705","391","19","2","155","158","7597","32","38","32009","1527"
"premier-league.de","19.2","31.3","4.6","247","183","notfound","0","0","0","0","67","86","89","20","13","3518","31"
"premium-lizenz.com","18.9","29.4","3.9","30","4","notfound","0","0","0","0","121","157","211","8","2","65","26"
"premopia.com","34.7","33.8","2.9","1","1","premopia.com","6577036","1239","12","296","6","6","2554","31","10","3391","123"
"primera-division.info","12.4","26.6","4.0","5","5","notfound","0","0","0","0","22","22","29","13","10","34","8"
"quotenmeter.de","47.2","48.4","5.6","128","41","quotenmeter.de","4754714","2178","32","9","0","0","0","61","47","2823820","3614"
"radioarabella.de","49.8","38.2","3.2","4","2","radioarabella.de","7959488","242","7","0","264","265","6136","38","43","28729","1189"
"radiohamburg.de","50.4","45.6","3.7","140","15","radiohamburg.de","2911627","1414","84","174","377","655","98386","44","52","5047186","3982"
"rautemusik.fm","52.0","51.9","5.7","38595","38572","rautemusik.fm","1847596","4580","198","165","1860","1916","46934","54","53","1107162","4189"
"reeperbahn.de","41.8","45.6","6.0","16689","290","reeperbahn.de","3318512","85","66","0","113","578","43719","31","20","82227","412"
"regionews.at","39.6","43.7","4.1","228","13","regionews.at","31400304","23","0","0","61","97","116004","40","22","74613","1550"
"report.at","41.2","39.4","3.5","8","6","report.at","10558869","43","2","0","27","39","4204","38","25","163466","1083"
"reviersport.de","48.9","44.2","4.4","196","114","reviersport.de","2741994","1837","95","37","858","1065","174058","51","49","865955","3122"
"rohstoffecheck.de","27.8","1.0","0.0","0","0","rohstoffecheck.de","34789267","2","0","0","0","0","0","37","21","1618598","85"
"rom-welten.de","26.1","36.0","4.9","1668","997","rom-welten.de","2125495","397","153","4","1202","1537","324741","36","30","193022","61"
"Schrift-Architekt.de","29.2","37.8","5.5","3077","1933","notfound","0","0","0","0","466","1329","2320","21","10","6828","60"
"schwaebische-post.de","49.7","39.5","4.3","53","3","schwaebische-post.de","3866690","150","49","0","0","0","0","40","39","616510","2852"
"schweizmagazin.ch","39.0","30.9","3.1","2","2","schweizmagazin.ch","44349735","17","0","0","77","679","28831","45","16","84672","1929"
"sicher-wetten.eu","19.6","29.9","0.0","0","0","notfound","0","0","0","0","3","3","19","18","5","1305","18"
"siegerlandkurier.de","39.6","31.7","0.0","19","0","siegerlandkurier.de","19751798","50","0","0","53","62","27790","38","39","507780","923"
"sinaswelt.de","33.2","37.7","4.1","26","26","sinaswelt.de","20920634","10","0","0","14","14","1440","10","13","7327","201"
"skatspiele.info","22.0","1.0","0.0","0","0","notfound","0","0","0","0","7","7","549","24","19","1774","47"
"skiwelt.de","34.3","32.8","2.8","2","0","skiwelt.de","16210738","12","0","0","271","425","4785","34","39","50905","341"
"smarttech-online.ch","40.8","34.3","4.2","2","2","smarttech-online.ch","28093664","10","0","0","12","13","19100","42","27","1562475","141"
"soaktuell.ch","33.5","34.6","5.2","1732","23","soaktuell.ch","40762050","60","0","0","169","2067","3188","17","25","7352","447"
"SocialMediaStatistik.de","41.0","46.7","4.9","546","540","notfound","0","0","0","0","295","299","2445","27","17","13928","540"
"sofahelden.de","21.4","20.6","3.7","8","8","notfound","0","0","0","0","2","1086","37387","23","19","11921","22"
"soundportal.at","48.5","54.4","6.0","16717","16708","soundportal.at","5168755","58","25","1","469","974","4312","28","28","47427","608"
"spielautomat.tv","15.5","27.0","0.0","0","0","notfound","0","0","0","0","1","1","44","21","6","153","21"
"spielesnacks.de","32.5","34.5","2.6","10","1","spielesnacks.de","27975220","43","0","0","15","65","3267","30","14","75092","285"
"spieltraeume.ch","20.4","30.6","4.8","170","168","notfound","0","0","0","0","0","0","981","18","6","133","37"
"sportwetten-anbieter.eu","10.2","24.3","4.5","12","2","notfound","0","0","0","0","5","6","6","12","6","8","4"
"sportwettenblogger.de","24.7","33.9","4.8","340","213","notfound","0","0","0","0","1120","1159","1321","26","9","5402","68"
"sportwetten-bonus.me","23.4","35.7","5.5","409","388","notfound","0","0","0","0","19","145","146","14","14","1009","19"
"sportwetten-forum.org","18.3","30.7","4.5","33","30","notfound","0","0","0","0","2","2","11","12","2","21","5"
"sportwettenohneeinzahlung.de","10.2","25.0","4.4","3","3","notfound","0","0","0","0","4","4","4","9","4","6","3"
"sportwettenprofis.net","20.6","33.4","3.5","14","9","notfound","0","0","0","0","378","378","566","26","6","1007","43"
"stadtmagazin.com","35.6","36.5","2.7","5","5","stadtmagazin.com","10326169","198","3","0","43","459","16711","18","23","37339","1417"
"stock-world.de","44.1","32.5","2.8","2","1","stock-world.de","36459144","620","0","0","0","0","0","43","36","2184275","1563"
"survivalcore.de","27.3","37.7","5.6","124351","19691","survivalcore.de","6097479","111","16","0","307122","308198","399266","17","19","208108","187"
"svu-fussball.de","13.5","1.0","0.0","0","0","notfound","0","0","0","0","1","1","87","16","1","99","29"
"sz-online.de","70.2","51.8","5.9","8440","8338","sz-online.de","1888032","1789","191","14","0","0","0","46","53","1148397","13016"
"tag24.de","56.7","46.1","5.0","120","95","tag24.de","2634640","1575","102","24","356","466","679663","45","25","630078","3821"
"telekom-presse.at","43.3","35.3","2.9","6","2","telekom-presse.at","17340206","1","0","0","60","68","18657","20","25","24924","1859"
"tennis-live.ch","15.2","20.1","3.8","36","0","tennis-live.ch","16151605","166","0","0","6","11","22","13","10","24","10"
"tourismusnews.com","28.9","37.0","5.7","6476","40","tourismusnews.com","22308946","15","0","0","34","59","895","25","11","1264","108"
"tratsch.ch","28.9","39.9","5.2","423","420","tratsch.ch","31172969","12","0","0","129","1511","1543","23","23","2638","223"
"uhz-online.de","25.6","1.0","0.0","0","0","uhz-online.de","22647846","1","0","0","1","10","1074","32","24","1442432","29"
"ulm-news.de","37.5","37.9","3.8","159","8","ulm-news.de","37294491","23","0","0","0","0","0","47","26","5182958","1520"
"unafesta.com","13.7","23.3","4.5","90","3","notfound","0","0","0","0","1","2","17","26","9","586","17"
"urbanite.net","41.2","34.7","3.5","2","2","urbanite.net","1809026","2276","206","106","34","38","5122","38","19","17493","1152"
"verdienegeld.at","26.0","1.0","0.0","0","0","verdienegeld.at","28415167","1","0","0","19","19","327","24","11","1233","401"
"virtualnights.com","43.5","47.6","4.7","339","179","virtualnights.com","1362271","2513","337","0","1501","1533","23388","30","28","739770","2738"
"volksfreund.de","63.1","49.0","5.3","1497","1082","volksfreund.de","4553475","1128","35","7","0","0","0","44","44","3226045","8483"
"webck.net","13.8","14.5","0.0","0","0","webck.net","28312400","1","0","0","0","0","0","6","0","715","3"
"westline.de","51.1","45.5","3.8","27","20","westline.de","2659928","431","100","76","98","594","395775","45","46","1098224","2888"
"wettanbieter1.de","16.9","27.9","3.0","1","1","notfound","0","0","0","0","5","5","19","16","3","28","10"
"wettanbieter-bonus.org","17.8","27.5","3.5","1","1","notfound","0","0","0","0","1","1","29","17","14","99","34"
"wettanbieterpaypal.com","22.1","31.1","0.0","0","0","notfound","0","0","0","0","0","0","49","20","16","136","30"
"wettbonus.me","22.8","33.0","4.4","6","6","notfound","0","0","0","0","7","7","77","22","23","543","38"
"wettbonusohneeinzahlung.eu","14.6","28.8","4.1","7","6","notfound","0","0","0","0","3","3","3","11","3","3","2"
"wettbonusvergleich.eu","17.3","27.8","0.0","1","0","notfound","0","0","0","0","0","0","22","14","16","88","8"
"wettenblog.net","10.1","24.0","3.9","2","1","notfound","0","0","0","0","3","3","10","15","4","62","13"
"wimopodcast.com","15.1","11.0","0.0","0","0","notfound","0","0","0","0","0","0","1","6","0","6","3"
"wmnews.eu","11.5","22.3","0.0","1","0","notfound","0","0","0","0","0","0","8","14","4","10","5"
"xblaster.de","23.4","30.4","0.0","1","0","notfound","0","0","0","0","31","31","552","20","15","409","77"
"xbox-liveforum.de","45.0","35.1","3.7","3","3","notfound","0","0","0","0","15","15","285322","32","8","482860","3543"
"xtranews.de","42.2","47.3","4.6","55","42","xtranews.de","16185957","17","0","0","98","138","21842","41","38","50239","1223"
"you-big-blog.com","34.9","41.8","6.1","12878","247","you-big-blog.com","34165754","5","0","0","278","561","604","31","38","494861","531"
"zaronews.com","22.2","32.2","0.0","1","0","notfound","0","0","0","0","573","574","1505","4","9","2324","197"
"zeitjung.de","39.4","47.6","5.6","4089","217","zeitjung.de","5964420","351","17","0","336","2673","16563","49","18","44288","1410"
"zertifikatecheck.de","25.6","1.0","0.0","0","0","zertifikatecheck.de","29618198","8","0","0","0","0","0","42","22","1702977","76"
"zuecherin.com","1.0","1.0","0.0","0","0","notfound","0","0","0","0","0","0","0","0","0","0","0"
"zukunftsachsen.de","8.6","18.6","2.9","1","1","notfound","0","0","0","0","3","3","16","19","6","60","9"
